id||seq_test||seq_out
11||O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.date_relative O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O O O O O B-arrive_date.day_name I-arrive_date.day_name||O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.date_relative O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O O O O O B-return_date.day_name I-return_date.day_name
14||O O O O O O O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.date_relative||O O O O O O O B-toloc.city_name I-toloc.city_name O B-arrive_date.day_name B-arrive_date.date_relative
15||O O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name B-arrive_date.day_number I-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name||O O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name
47||O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name||O O O O O O B-airline_name I-airline_name O B-fromloc.airport_name O B-toloc.city_name
51||O B-meal I-meal O O O O O O B-flight_number B-flight_number O B-airline_name O B-fromloc.city_name O B-toloc.city_name||O B-meal I-meal O O O O O O B-flight_number I-flight_number O B-airline_name O B-fromloc.city_name O B-toloc.city_name
70||O O O B-depart_time.period_of_day O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name||O O O B-depart_time.period_of_day B-depart_date.today_relative O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
76||O O O O O O B-depart_time.period_of_day B-depart_time.period_mod B-depart_date.today_relative B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name||O O O O O O B-depart_time.period_of_day B-depart_time.period_mod B-depart_date.today_relative I-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name
81||O O O O O O O B-fromloc.city_name O B-toloc.city_name||O O O O O O O B-fromloc.city_name O B-toloc.state_name
94||O O B-city_name O O O O O B-fromloc.city_name O||O O B-toloc.city_name O O O O O B-fromloc.city_name O
96||O O O O O B-toloc.city_name O B-fromloc.city_name O B-arrive_time.period_of_day I-arrive_time.period_of_day B-arrive_date.day_name B-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name||O O O O O B-toloc.city_name O B-fromloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day B-depart_date.day_name B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name
114||O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O||O O O O O O B-connect O B-fromloc.city_name O B-toloc.city_name O O O O O O
119||O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name I-toloc.city_name||O O O O O O B-airport_name I-airport_name I-airport_name I-airport_name I-airport_name B-city_name O O B-city_name I-city_name
120||O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time I-depart_time.time I-depart_time.time B-or B-flight_mod I-depart_time.time_relative O B-depart_date.day_name I-depart_date.day_name||O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time I-depart_time.time I-depart_time.time B-or B-depart_time.time_relative I-depart_time.time_relative O B-depart_date.day_name I-depart_date.day_name
125||O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name||O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.state_name
135||O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time||O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_number I-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time
137||O O B-transport_type O B-toloc.city_name O O||O O B-transport_type O B-city_name O O
154||O O O O O B-fromloc.city_name O O O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name||O O O O O B-fromloc.airport_name O O O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name
155||O O O O B-toloc.city_name O B-arrive_date.day_number I-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name||O O O O B-toloc.airport_name O B-arrive_date.day_number I-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name
163||O O O O O B-airline_name I-airline_name I-airline_name I-airline_name I-airline_name O B-airline_name B-aircraft_code||O O O O O B-airline_name I-airline_name I-airline_name I-airline_name I-airline_name O O B-aircraft_code
